map,date,ft_pick,ft_score,st_score,ft_link,st_link,ft_round_1_win,ft_round_2_win,ft_round_3_win,ft_round_4_win,ft_round_5_win,ft_round_6_win,ft_round_7_win,ft_round_8_win,ft_round_9_win,ft_round_10_win,ft_round_11_win,ft_round_12_win,ft_round_13_win,ft_round_14_win,ft_round_15_win,ft_round_16_win,ft_round_17_win,ft_round_18_win,ft_round_19_win,ft_round_20_win,ft_round_21_win,ft_round_22_win,ft_round_23_win,ft_round_24_win,ft_round_25_win,ft_round_26_win,ft_round_27_win,ft_round_28_win,ft_round_29_win,ft_round_30_win,match_id,isBoOne,match_num,ft_Maps played,ft_Win Rate,ft_Total kills,ft_Total deaths,ft_Rounds played,ft_K/D Ratio,ft_age,ft_mp_Times played,ft_mp_Total rounds played,ft_mp_Rounds won,ft_mp_Win percent,ft_mp_Pistol rounds,ft_mp_Pistol rounds won,ft_mp_Pistol round win percent,ft_pl_KAST,ft_pl_Impact,ft_pl_ADR,ft_pl_KPR,ft_pl_Total kills,ft_pl_Headshot %,ft_pl_Total deaths,ft_pl_K/D Ratio,ft_pl_Damage / Round,ft_pl_Grenade dmg / Round,ft_pl_Maps played,ft_pl_Rounds played,ft_pl_Kills / round,ft_pl_Assists / round,ft_pl_Deaths / round,ft_pl_Saved by teammate / round,ft_pl_Saved teammates / round,ft_pl_Rating 2.0,ft_pl_Total opening kills,ft_pl_Total opening deaths,ft_pl_Opening kill ratio,ft_pl_Opening kill rating,ft_pl_Team win percent after first kill,ft_pl_First kill in won rounds,ft_pl_0 kill rounds,ft_pl_1 kill rounds,ft_pl_2 kill rounds,ft_pl_3 kill rounds,ft_pl_4 kill rounds,ft_pl_5 kill rounds,ft_pl_Rifle kills,ft_pl_Sniper kills,ft_pl_SMG kills,ft_pl_Pistol kills,ft_pl_Grenade,ft_pl_Other,ft_pl_players_in_team,st_Maps played,st_Win Rate,st_Total kills,st_Total deaths,st_Rounds played,st_K/D Ratio,st_age,st_mp_Times played,st_mp_Total rounds played,st_mp_Rounds won,st_mp_Win percent,st_mp_Pistol rounds,st_mp_Pistol rounds won,st_mp_Pistol round win percent,st_pl_KAST,st_pl_Impact,st_pl_ADR,st_pl_KPR,st_pl_Total kills,st_pl_Headshot %,st_pl_Total deaths,st_pl_K/D Ratio,st_pl_Damage / Round,st_pl_Grenade dmg / Round,st_pl_Maps played,st_pl_Rounds played,st_pl_Kills / round,st_pl_Assists / round,st_pl_Deaths / round,st_pl_Saved by teammate / round,st_pl_Saved teammates / round,st_pl_Rating 2.0,st_pl_Total opening kills,st_pl_Total opening deaths,st_pl_Opening kill ratio,st_pl_Opening kill rating,st_pl_Team win percent after first kill,st_pl_First kill in won rounds,st_pl_0 kill rounds,st_pl_1 kill rounds,st_pl_2 kill rounds,st_pl_3 kill rounds,st_pl_4 kill rounds,st_pl_5 kill rounds,st_pl_Rifle kills,st_pl_Sniper kills,st_pl_SMG kills,st_pl_Pistol kills,st_pl_Grenade,st_pl_Other,st_pl_players_in_team
Nuke,2019-05-28,0,16,11,/stats/teams/5973/Liquid,/stats/teams/7533/North,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,86719,0,1,67.0,0.6515151515151515,5870.0,5227.0,1680.0,1.12,24,10.0,251.0,137.0,60.0,20.0,8.0,40.0,72.16,1.104,76.28,0.6980000000000001,1174.0,49.12,1045.4,1.126,76.28,5.0,67.0,1680.0,0.6980000000000001,0.132,0.62,0.09,0.09,1.116,174.2,161.0,1.084,1.026,78.84,14.680000000000001,898.0,490.4,210.4,64.2,14.8,2.2,769.2,139.2,58.4,185.4,16.6,7.8,5,49.0,0.6122448979591837,4323.0,4042.0,1282.0,1.07,24,8.0,232.0,125.0,62.5,16.0,10.0,62.5,72.1,1.0619999999999998,75.12,0.688,797.0,46.44,728.8,1.116,75.12,3.9400000000000004,44.4,1159.2,0.688,0.122,0.62,0.098,0.096,1.1039999999999999,118.6,109.0,1.1800000000000002,1.03,74.43999999999998,14.66,615.6,346.8,148.4,40.8,7.0,0.6,582.8,61.6,27.0,115.6,8.8,2.4,5
Mirage,2019-05-28,1,16,12,/stats/teams/5973/Liquid,/stats/teams/7533/North,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,86722,0,2,67.0,0.6515151515151515,5870.0,5227.0,1680.0,1.12,24,10.0,247.0,128.0,50.0,20.0,7.0,35.0,72.16,1.104,76.28,0.6980000000000001,1174.0,49.12,1045.4,1.126,76.28,5.0,67.0,1680.0,0.6980000000000001,0.132,0.62,0.09,0.09,1.116,174.2,161.0,1.084,1.026,78.84,14.680000000000001,898.0,490.4,210.4,64.2,14.8,2.2,769.2,139.2,58.4,185.4,16.6,7.8,5,49.0,0.6122448979591837,4323.0,4042.0,1282.0,1.07,24,9.0,224.0,91.0,22.2,18.0,8.0,44.4,72.1,1.0619999999999998,75.12,0.688,797.0,46.44,728.8,1.116,75.12,3.9400000000000004,44.4,1159.2,0.688,0.122,0.62,0.098,0.096,1.1039999999999999,118.6,109.0,1.1800000000000002,1.03,74.43999999999998,14.66,615.6,346.8,148.4,40.8,7.0,0.6,582.8,61.6,27.0,115.6,8.8,2.4,5
Dust2,2019-05-30,0,22,19,/stats/teams/5973/Liquid,/stats/teams/6667/FaZe,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,86871,0,1,68.0,0.6865671641791045,5968.0,5225.0,1696.0,1.14,24,15.0,363.0,219.0,73.3,30.0,15.0,50.0,72.66,1.1119999999999999,76.64000000000001,0.7040000000000001,1193.6,49.32,1045.0,1.1420000000000001,76.64000000000001,4.96,68.0,1696.0,0.7040000000000001,0.134,0.6140000000000001,0.09,0.09,1.1300000000000001,178.4,160.0,1.1179999999999999,1.036,79.20000000000002,14.74,899.8,500.2,213.8,65.0,15.2,2.0,782.2,138.8,61.0,189.4,16.6,8.2,5,53.0,0.5576923076923077,4613.0,4327.0,1353.0,1.07,24,15.0,381.0,231.0,80.0,30.0,19.0,63.3,69.26,1.06,74.8,0.6880000000000001,808.6,47.779999999999994,734.4,1.08,74.8,3.6599999999999993,45.0,1149.2,0.6880000000000001,0.10800000000000001,0.636,0.078,0.07400000000000001,1.076,129.2,107.2,1.166,1.0539999999999998,75.38,15.48,609.4,339.0,147.6,40.0,11.6,1.6,491.0,152.8,33.0,125.0,7.8,0.6,5
Nuke,2019-05-30,1,12,16,/stats/teams/5973/Liquid,/stats/teams/6667/FaZe,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,86877,0,2,68.0,0.6865671641791045,5968.0,5225.0,1696.0,1.14,24,11.0,278.0,153.0,63.6,22.0,10.0,45.5,72.66,1.1119999999999999,76.64000000000001,0.7040000000000001,1193.6,49.32,1045.0,1.1420000000000001,76.64000000000001,4.96,68.0,1696.0,0.7040000000000001,0.134,0.6140000000000001,0.09,0.09,1.1300000000000001,178.4,160.0,1.1179999999999999,1.036,79.20000000000002,14.74,899.8,500.2,213.8,65.0,15.2,2.0,782.2,138.8,61.0,189.4,16.6,8.2,5,53.0,0.5576923076923077,4613.0,4327.0,1353.0,1.07,24,8.0,201.0,92.0,37.5,16.0,7.0,43.8,69.26,1.06,74.8,0.6880000000000001,808.6,47.779999999999994,734.4,1.08,74.8,3.6599999999999993,45.0,1149.2,0.6880000000000001,0.10800000000000001,0.636,0.078,0.07400000000000001,1.076,129.2,107.2,1.166,1.0539999999999998,75.38,15.48,609.4,339.0,147.6,40.0,11.6,1.6,491.0,152.8,33.0,125.0,7.8,0.6,5
Inferno,2019-05-30,0,16,11,/stats/teams/5973/Liquid,/stats/teams/6667/FaZe,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,86881,0,3,68.0,0.6865671641791045,5968.0,5225.0,1696.0,1.14,24,6.0,148.0,83.0,66.7,12.0,8.0,66.7,72.66,1.1119999999999999,76.64000000000001,0.7040000000000001,1193.6,49.32,1045.0,1.1420000000000001,76.64000000000001,4.96,68.0,1696.0,0.7040000000000001,0.134,0.6140000000000001,0.09,0.09,1.1300000000000001,178.4,160.0,1.1179999999999999,1.036,79.20000000000002,14.74,899.8,500.2,213.8,65.0,15.2,2.0,782.2,138.8,61.0,189.4,16.6,8.2,5,53.0,0.5576923076923077,4613.0,4327.0,1353.0,1.07,24,5.0,128.0,73.0,60.0,10.0,6.0,60.0,69.26,1.06,74.8,0.6880000000000001,808.6,47.779999999999994,734.4,1.08,74.8,3.6599999999999993,45.0,1149.2,0.6880000000000001,0.10800000000000001,0.636,0.078,0.07400000000000001,1.076,129.2,107.2,1.166,1.0539999999999998,75.38,15.48,609.4,339.0,147.6,40.0,11.6,1.6,491.0,152.8,33.0,125.0,7.8,0.6,5
Nuke,2019-06-01,0,16,13,/stats/teams/5973/Liquid,/stats/teams/8297/FURIA,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,87007,0,1,71.0,0.6857142857142857,6310.0,5556.0,1792.0,1.14,24,12.0,306.0,165.0,58.3,24.0,11.0,45.8,72.6,1.1139999999999999,76.62,0.7040000000000001,1262.0,49.12,1111.2,1.1400000000000001,76.62,4.96,71.0,1792.0,0.7040000000000001,0.136,0.622,0.088,0.09,1.1280000000000001,189.0,168.6,1.1220000000000003,1.036,78.49999999999999,14.7,950.4,528.4,226.2,69.0,15.8,2.2,825.0,147.6,64.0,202.0,17.8,8.8,5,106.0,0.7830188679245284,9889.0,8447.0,2721.0,1.17,24,18.0,454.0,281.0,94.4,36.0,21.0,58.3,73.84,1.126,78.44,0.728,2014.4,44.58,1722.4,1.176,78.44,4.36,107.8,2769.0,0.728,0.134,0.622,0.098,0.096,1.152,297.2,256.4,1.212,1.0459999999999998,77.43999999999998,14.179999999999998,1420.6,850.0,356.6,117.6,22.6,1.6,1361.0,213.8,119.4,287.0,26.2,11.6,5
Overpass,2019-06-01,1,16,4,/stats/teams/5973/Liquid,/stats/teams/8297/FURIA,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,87011,0,2,71.0,0.6857142857142857,6310.0,5556.0,1792.0,1.14,24,18.0,449.0,262.0,77.8,36.0,22.0,61.1,72.6,1.1139999999999999,76.62,0.7040000000000001,1262.0,49.12,1111.2,1.1400000000000001,76.62,4.96,71.0,1792.0,0.7040000000000001,0.136,0.622,0.088,0.09,1.1280000000000001,189.0,168.6,1.1220000000000003,1.036,78.49999999999999,14.7,950.4,528.4,226.2,69.0,15.8,2.2,825.0,147.6,64.0,202.0,17.8,8.8,5,106.0,0.7830188679245284,9889.0,8447.0,2721.0,1.17,24,26.0,663.0,408.0,76.9,52.0,31.0,59.6,73.84,1.126,78.44,0.728,2014.4,44.58,1722.4,1.176,78.44,4.36,107.8,2769.0,0.728,0.134,0.622,0.098,0.096,1.152,297.2,256.4,1.212,1.0459999999999998,77.43999999999998,14.179999999999998,1420.6,850.0,356.6,117.6,22.6,1.6,1361.0,213.8,119.4,287.0,26.2,11.6,5
Mirage,2019-06-02,0,16,8,/stats/teams/5973/Liquid,/stats/teams/4869/ENCE,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,87057,0,1,73.0,0.6944444444444444,6490.0,5706.0,1841.0,1.14,24,10.0,248.0,133.0,60.0,20.0,7.0,35.0,72.64,1.1179999999999999,76.7,0.7060000000000001,1298.0,49.1,1141.2,1.14,76.7,4.960000000000001,73.0,1841.0,0.7060000000000001,0.136,0.62,0.092,0.09,1.1300000000000001,195.4,172.0,1.134,1.0420000000000003,78.62,14.74,974.4,545.2,231.8,71.4,16.0,2.2,849.8,151.0,65.6,207.6,18.2,9.0,5,59.0,0.603448275862069,5250.0,5018.0,1548.0,1.05,24,7.0,171.0,112.0,100.0,14.0,11.0,78.6,70.52000000000001,1.058,74.46,0.6799999999999999,1050.0,38.86,1003.6,1.05,74.46,4.08,59.0,1548.0,0.6799999999999999,0.136,0.6479999999999999,0.1,0.10400000000000001,1.07,156.8,152.2,1.072,1.008,76.89999999999999,14.62,838.0,453.2,187.6,56.0,12.4,0.8,661.8,148.2,64.2,151.2,14.6,11.2,5
Overpass,2019-06-02,1,17,19,/stats/teams/5973/Liquid,/stats/teams/4869/ENCE,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,87062,0,2,73.0,0.6944444444444444,6490.0,5706.0,1841.0,1.14,24,19.0,469.0,278.0,78.9,38.0,24.0,63.2,72.64,1.1179999999999999,76.7,0.7060000000000001,1298.0,49.1,1141.2,1.14,76.7,4.960000000000001,73.0,1841.0,0.7060000000000001,0.136,0.62,0.092,0.09,1.1300000000000001,195.4,172.0,1.134,1.0420000000000003,78.62,14.74,974.4,545.2,231.8,71.4,16.0,2.2,849.8,151.0,65.6,207.6,18.2,9.0,5,59.0,0.603448275862069,5250.0,5018.0,1548.0,1.05,24,10.0,256.0,112.0,30.0,20.0,6.0,30.0,70.52000000000001,1.058,74.46,0.6799999999999999,1050.0,38.86,1003.6,1.05,74.46,4.08,59.0,1548.0,0.6799999999999999,0.136,0.6479999999999999,0.1,0.10400000000000001,1.07,156.8,152.2,1.072,1.008,76.89999999999999,14.62,838.0,453.2,187.6,56.0,12.4,0.8,661.8,148.2,64.2,151.2,14.6,11.2,5
Inferno,2019-06-02,0,16,13,/stats/teams/5973/Liquid,/stats/teams/4869/ENCE,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,87065,0,3,73.0,0.6944444444444444,6490.0,5706.0,1841.0,1.14,24,7.0,175.0,99.0,71.4,14.0,9.0,64.3,72.64,1.1179999999999999,76.7,0.7060000000000001,1298.0,49.1,1141.2,1.14,76.7,4.960000000000001,73.0,1841.0,0.7060000000000001,0.136,0.62,0.092,0.09,1.1300000000000001,195.4,172.0,1.134,1.0420000000000003,78.62,14.74,974.4,545.2,231.8,71.4,16.0,2.2,849.8,151.0,65.6,207.6,18.2,9.0,5,59.0,0.603448275862069,5250.0,5018.0,1548.0,1.05,24,7.0,180.0,97.0,42.9,14.0,6.0,42.9,70.52000000000001,1.058,74.46,0.6799999999999999,1050.0,38.86,1003.6,1.05,74.46,4.08,59.0,1548.0,0.6799999999999999,0.136,0.6479999999999999,0.1,0.10400000000000001,1.07,156.8,152.2,1.072,1.008,76.89999999999999,14.62,838.0,453.2,187.6,56.0,12.4,0.8,661.8,148.2,64.2,151.2,14.6,11.2,5
